title,company,location,work_type,level,compensation,link,id,scraped_date
"Senior DevOps Engineer, AI",LogicMonitor,,,,,https://builtin.com/job/senior-devops-engineer-ai/8435450,8435450,2026-02-27
Sr. Data AI Engineer,Sutherland,,,,,https://builtin.com/job/sr-data-ai-engineer/8122876,8122876,2026-02-27
Lead - AI Engineer,Ecolab,,,,,https://builtin.com/job/lead-ai-engineer/7957210,7957210,2026-02-27
Senior Generative AI Engineer,Flutter International,,,,,https://builtin.com/job/senior-generative-ai-engineer/8107368,8107368,2026-02-27
"Associate Consultant, AI Engineer",Beghou Consulting,,,,,https://builtin.com/job/associate-consultant-ai-engineer/8598187,8598187,2026-02-27
AI Developer,Barclays,,,,,https://builtin.com/job/ai-developer/8597641,8597641,2026-02-27
AI Developer Technology Engineer,NVIDIA,,,,,https://builtin.com/job/ai-developer-technology-engineer/7699509,7699509,2026-02-27
AI Engineer,Nightfall AI,,,,,https://builtin.com/job/ai-engineer/8596215,8596215,2026-02-27
AI Engineer,Seekho,,,,,https://builtin.com/job/ai-engineer/8596189,8596189,2026-02-27
Senior AI & ML Engineer,Nexthink,,,,,https://builtin.com/job/senior-ai-ml-engineer/8555262,8555262,2026-02-27
Lead AI Developer,dentsu,,,,,https://builtin.com/job/lead-ai-developer/8371658,8371658,2026-02-27
Lead AI Engineer,dentsu,,,,,https://builtin.com/job/lead-ai-engineer/8498765,8498765,2026-02-27
Lead Product Development AI Engineer,Clarivate Analytics,,,,,https://builtin.com/job/lead-product-development-ai-engineer/8593588,8593588,2026-02-27
Generative AI Engineer,Sia Partners,,,,,https://builtin.com/job/generative-ai-engineer/8592362,8592362,2026-02-27
Agentic Artificial Intelligence Engineer,Trimble,,,,,https://builtin.com/job/agentic-artificial-intelligence-engineer/7683539,7683539,2026-02-27
Lead Agentic AI Engineer,Trimble,,,,,https://builtin.com/job/agentic-artificial-intelligence-engineer/7440537,7440537,2026-02-27
PHI - Senior AI Engineer,Prudential plc,,,,,https://builtin.com/job/phi-senior-ai-engineer/8561275,8561275,2026-02-27
Senior AI Engineer – Internal Tools & Platform,Securly,,,,,https://builtin.com/job/senior-ai-engineer-internal-tools-platform/8591626,8591626,2026-02-27
Staff Software Engineer - AI,FourKites,,,,,https://builtin.com/job/staff-software-engineer-ai/8549212,8549212,2026-02-27
Generative AI Developer (Fresher),CompuGroup Medical US,,,,,https://builtin.com/job/generative-ai-developer-fresher/8123883,8123883,2026-02-27
Senior AI Engineer,Kantar,,,,,https://builtin.com/job/senior-ai-engineer/7540853,7540853,2026-02-27
Sr. AI engineer,Sezzle,,,,,https://builtin.com/job/sr-ai-engineer/8590492,8590492,2026-02-27
AI Engineer I (Remote),Sezzle,,,,,https://builtin.com/job/ai-engineer-i-remote/8590462,8590462,2026-02-27
AI Engineer II (Remote),Sezzle,,,,,https://builtin.com/job/ai-engineer-ii-remote/8590444,8590444,2026-02-27
Generative AI Developer,CompuGroup Medical US,,,,,https://builtin.com/job/software-developer-generative-ai/8065953,8065953,2026-02-27
Senior Staff Engineer - IT (AI Engineer - IT),R1 RCM,,,,,https://builtin.com/job/senior-staff-engineer-it-ai-engineer-it/8412095,8412095,2026-02-27
Automation & AI Developer,Thomson Reuters,,,,,https://builtin.com/job/automation-ai-developer/8098473,8098473,2026-02-27
Senior AI Engineer (ML / Deep Learning / GenAI),PairSoft,,,,,https://builtin.com/job/senior-ai-engineer-ml-deep-learning-genai/8584089,8584089,2026-02-27
Gen AI Developer,Citi,,,,,https://builtin.com/job/gen-ai-developer/8478165,8478165,2026-02-27
Gen AI Engineer - Assistant Vice President,Citi,,,,,https://builtin.com/job/gen-ai-engineer-assistant-vice-president/8583778,8583778,2026-02-27
Senior Conversational AI Engineer (Google ADK),Miratech,,,,,https://builtin.com/job/senior-conversational-ai-engineer-google-adk/8582607,8582607,2026-02-27
Sr AI ML Engineer,TransUnion,,,,,https://builtin.com/job/sr-ai-ml-engineer/8323319,8323319,2026-02-27
"Senior Software Engineer, AI Assisted Engineering Support",Navan,,,,,https://builtin.com/job/senior-software-engineer-ai-assisted-engineering-support/8415429,8415429,2026-02-27
Lead AI Engineer,Dentsu Creative,,,,,https://builtin.com/job/lead-ai-engineer/8491607,8491607,2026-02-27
AI Engineer,Hitachi,,,,,https://builtin.com/job/ai-engineer/7756281,7756281,2026-02-27
AI Engineer,BayRock Labs,,,,,https://builtin.com/job/ai-engineer/7924379,7924379,2026-02-27
Digital AI Engineer,KKR,,,,,https://builtin.com/job/digital-ai-engineer/8360385,8360385,2026-02-27
Agentic AI Engineer,TraceLink,,,,,https://builtin.com/job/agentic-ai-engineer/8359884,8359884,2026-02-27
Senior AI Engineer,Assent,,,,,https://builtin.com/job/senior-ai-engineer/7706762,7706762,2026-02-27
AI Engineer,NTT DATA,,,,,https://builtin.com/job/ai-engineer/7069744,7069744,2026-02-27
Senior AI Engineer – Generative AI and Knowledge Systems,ZEISS Group,,,,,https://builtin.com/job/senior-ai-engineer-generative-ai-and-knowledge-systems/8511606,8511606,2026-02-27
Principal AI/ML Engineer,Rapid7,,,,,https://builtin.com/job/principal-ai-ml-engineer/8056500,8056500,2026-02-27
Software Engineer- AI,Cloudflare,,,,,https://builtin.com/job/software-engineer-ai/8530773,8530773,2026-02-27
AI Engineer (Agentic Operations) - NLP,Rocket Software,,,,,https://builtin.com/job/ai-engineer-agentic-operations-nlp/8569572,8569572,2026-02-27
Senior AI/ML Engineer,Optum,,,,,https://builtin.com/job/senior-ai-ml-engineer/8529002,8529002,2026-02-27
GenAI & Agentic AI Developer,Kyndryl,,,,,https://builtin.com/job/genai-agentic-ai-developer/8004899,8004899,2026-02-27
Lead AI Engineer,Keywords Studios,,,,,https://builtin.com/job/lead-ai-engineer/7917490,7917490,2026-02-27
Senior Data and AI engineer,Beckman Coulter Diagnostics,,,,,https://builtin.com/job/senior-data-and-ai-engineer/8335815,8335815,2026-02-27
Senior Data and AI engineer,Danaher Corporation,,,,,https://builtin.com/job/senior-data-and-ai-engineer/8337867,8337867,2026-02-27
Platform AI Developer (m/w/d),CompuGroup Medical US,,,,,https://builtin.com/job/platform-ai-developer-m-w-d/8373515,8373515,2026-02-27
Senior AI Engineer,DevSavant,,,,,https://builtin.com/job/senior-ai-engineer/8566091,8566091,2026-02-27
"Lead Analyst, AI Engineer",KLA,,,,,https://builtin.com/job/lead-analyst-ai-engineer/7191169,7191169,2026-02-27
AI Engineer (GenAI / Hyperscaler / Agentic AI),Nexaminds,,,,,https://builtin.com/job/ai-engineer-genai-hyperscaler-agentic-ai/8561532,8561532,2026-02-27
AI Engineer (GenAI – Vertex AI & GCP),Nexaminds,,,,,https://builtin.com/job/ai-engineer-genai-vertex-ai-gcp/8559628,8559628,2026-02-27
Senior AI Engineer,Ecolab,,,,,https://builtin.com/job/senior-business-analyst/8414449,8414449,2026-02-27
"Software Engineer, AI Agentic Search, Early Career",Notion,,,,,https://builtin.com/job/software-engineer-ai-agentic-search-early-career/8239323,8239323,2026-02-27
"Staff Software Engineer, AI Agentic Search",Notion,,,,,https://builtin.com/job/software-engineer-ai-agentic-search/8238537,8238537,2026-02-27
"Software Engineer II (Quality) - Manual, Automation, AI & Cloud Testing-1",Mastercard,,,,,https://builtin.com/job/software-engineer-ii-quality-manual-automation-ai-cloud-testing-1/8268456,8268456,2026-02-27
